Date,Value
1992-12-31,75.144776961
1993-01-31,75.203350354
1993-02-28,75.31694305
1993-03-31,75.486727953
1993-04-30,75.795681504
1993-05-31,76.290704001
1993-06-30,76.960832563
1993-07-31,77.686692497
1993-08-31,78.280301472
1993-09-30,78.613144228
1993-10-31,78.706273873
1993-11-30,78.679429687
1993-12-31,78.684065067
1994-01-31,78.89295829
1994-02-28,79.447137721
1994-03-31,80.240709475
1994-04-30,81.004148713
1994-05-31,81.610799641
1994-06-30,82.134588661
1994-07-31,82.497483939
1994-08-31,82.44489109
1994-09-30,82.110295467
1994-10-31,81.83313061
1994-11-30,81.825536883
1994-12-31,82.119684356
1995-01-31,82.588504523
1995-02-28,83.088381356
1995-03-31,83.564148094
1995-04-30,84.046446005
1995-05-31,84.474798765
1995-06-30,84.803365576
1995-07-31,85.029184802
1995-08-31,85.093132576
1995-09-30,85.002522896
1995-10-31,84.856935655
1995-11-30,84.796996046
1995-12-31,84.898865041
1996-01-31,85.148128388
1996-02-29,85.550925228
1996-03-31,86.118955059
1996-04-30,86.772111496
1996-05-31,87.405699167
1996-06-30,87.931544527
1996-07-31,88.235237904
1996-08-31,88.279309066
1996-09-30,88.166824865
1996-10-31,88.096053433
1996-11-30,88.138851442
1996-12-31,88.265839733
1997-01-31,88.531429662
1997-02-28,88.957157633
1997-03-31,89.474568327
1997-04-30,89.965779243
1997-05-31,90.335678683
1997-06-30,90.505025169
1997-07-31,90.557259731
1997-08-31,90.703363083
1997-09-30,91.005663903
1997-10-31,91.330159934
1997-11-30,91.497765065
1997-12-31,91.491287502
1998-01-31,91.452364767
1998-02-28,91.595986005
1998-03-31,92.028457218
1998-04-30,92.717347843
1998-05-31,93.484509141
1998-06-30,94.049628256
1998-07-31,94.266553785
1998-08-31,94.175841675
1998-09-30,93.947735103
1998-10-31,93.748592164
1998-11-30,93.599052175
1998-12-31,93.437771109
1999-01-31,93.38345178
1999-02-28,93.623900116
1999-03-31,94.254621055
1999-04-30,95.154568225
1999-05-31,95.912282867
1999-06-30,96.378114871
1999-07-31,96.734153729
1999-08-31,96.992908652
1999-09-30,96.993371359
1999-10-31,96.731815191
1999-11-30,96.425360341
1999-12-31,96.279090065
2000-01-31,96.277502608
2000-02-29,96.41283769
2000-03-31,96.795127548
2000-04-30,97.368545101
2000-05-31,97.996638434
2000-06-30,98.53863605
2000-07-31,98.878750984
2000-08-31,99.08895207
2000-09-30,99.28862791
2000-10-31,99.50624487
2000-11-30,99.72956922
2000-12-31,100.0
2001-01-31,100.36630246
2001-02-28,100.81567401
2001-03-31,101.40334197
2001-04-30,102.14724982
2001-05-31,102.99284371
2001-06-30,103.90260882
2001-07-31,104.83018119
2001-08-31,105.63987872
2001-09-30,106.139976
2001-10-31,106.20266538
2001-11-30,106.08225431
2001-12-31,106.1771513
2002-01-31,106.54822657
2002-02-28,107.14644729
2002-03-31,108.00554165
2002-04-30,109.08483426
2002-05-31,110.13237258
2002-06-30,110.93162284
2002-07-31,111.51141332
2002-08-31,111.84122877
2002-09-30,111.93261639
2002-10-31,111.99047234
2002-11-30,112.21937401
2002-12-31,112.70505191
2003-01-31,113.35450245
2003-02-28,114.17433831
2003-03-31,115.10502218
2003-04-30,116.06812535
2003-05-31,117.21093569
2003-06-30,118.46302753
2003-07-31,119.67067778
2003-08-31,120.66965778
2003-09-30,121.13053099
2003-10-31,121.13107834
2003-11-30,121.18612408
2003-12-31,121.57376023
2004-01-31,122.24647653
2004-02-29,123.1074709
2004-03-31,124.18873215
2004-04-30,125.65099459
2004-05-31,127.42670772
2004-06-30,129.20382914
2004-07-31,130.71920612
2004-08-31,131.74952136
2004-09-30,132.22698045
2004-10-31,132.52776162
2004-11-30,133.06475193
2004-12-31,133.83850446
2005-01-31,134.77070546
2005-02-28,135.94005441
2005-03-31,137.46361982
2005-04-30,139.19360772
2005-05-31,140.92057558
2005-06-30,142.79721283
2005-07-31,144.82755166
2005-08-31,146.58170873
2005-09-30,147.74054847
2005-10-31,148.33720777
2005-11-30,148.51453193
2005-12-31,148.65458974
2006-01-31,149.23323123
2006-02-28,150.32035743
2006-03-31,151.82504422
2006-04-30,153.56561381
2006-05-31,155.16388977
2006-06-30,156.49243078
2006-07-31,157.40885936
2006-08-31,157.55132223
2006-09-30,156.98773226
2006-10-31,156.22456857
2006-11-30,155.67609924
2006-12-31,155.36298369
2007-01-31,155.43572281
2007-02-28,156.13302818
2007-03-31,157.23265263
2007-04-30,158.51607031
2007-05-31,159.833396
2007-06-30,160.85407459
2007-07-31,161.29386401
