Date,Value
1992-11-30,75.231842255
1992-12-31,75.169524939
1993-01-31,75.124930171
1993-02-28,75.334247324
1993-03-31,75.739764668
1993-04-30,76.108371039
1993-05-31,76.514009583
1993-06-30,76.999014633
1993-07-31,77.435614892
1993-08-31,77.780105712
1993-09-30,78.069828693
1993-10-31,78.316345653
1993-11-30,78.433561776
1993-12-31,78.469166156
1994-01-31,78.519752862
1994-02-28,78.793322296
1994-03-31,79.412176187
1994-04-30,80.115464855
1994-05-31,80.630440287
1994-06-30,80.897282893
1994-07-31,81.025572312
1994-08-31,81.10011533
1994-09-30,81.231167097
1994-10-31,81.529581885
1994-11-30,81.968583848
1994-12-31,82.33983318
1995-01-31,82.508345532
1995-02-28,82.595533125
1995-03-31,82.714523959
1995-04-30,82.899310107
1995-05-31,83.163695521
1995-06-30,83.496610734
1995-07-31,83.887659386
1995-08-31,84.247348707
1995-09-30,84.360498237
1995-10-31,84.31972676
1995-11-30,84.385881061
1995-12-31,84.532884115
1996-01-31,84.73250719
1996-02-29,85.073054818
1996-03-31,85.691762802
1996-04-30,86.475604387
1996-05-31,87.028433856
1996-06-30,87.289553353
1996-07-31,87.394044368
1996-08-31,87.510465652
1996-09-30,87.773694457
1996-10-31,87.987301793
1996-11-30,87.914212211
1996-12-31,87.771749323
1997-01-31,87.902043813
1997-02-28,88.307075513
1997-03-31,88.840509182
1997-04-30,89.302429474
1997-05-31,89.708662771
1997-06-30,90.121545085
1997-07-31,90.425779514
1997-08-31,90.523405294
1997-09-30,90.399099465
1997-10-31,90.359170517
1997-11-30,90.503550939
1997-12-31,90.636317345
1998-01-31,90.685456723
1998-02-28,90.804139839
1998-03-31,91.195594463
1998-04-30,91.760633784
1998-05-31,92.215492733
1998-06-30,92.511109996
1998-07-31,92.823042307
1998-08-31,93.088345313
1998-09-30,93.245943549
1998-10-31,93.485397468
1998-11-30,93.752643209
1998-12-31,93.888891695
1999-01-31,93.996294952
1999-02-28,94.295166149
1999-03-31,94.818711982
1999-04-30,95.310083159
1999-05-31,95.741459913
1999-06-30,96.178665883
1999-07-31,96.465501973
1999-08-31,96.698323183
1999-09-30,96.908878079
1999-10-31,97.135684918
1999-11-30,97.433517163
1999-12-31,97.617724254
2000-01-31,97.706095788
2000-02-29,97.884154235
2000-03-31,98.201233568
2000-04-30,98.783244633
2000-05-31,99.551984999
2000-06-30,100.01418246
2000-07-31,100.01315593
2000-08-31,99.831682681
2000-09-30,99.835365899
2000-10-31,99.989108926
2000-11-30,100.06712393
2000-12-31,100.0
2001-01-31,99.918739565
2001-02-28,100.02550893
2001-03-31,100.40602557
2001-04-30,101.04466239
2001-05-31,101.60354297
2001-06-30,101.85911611
2001-07-31,101.96751047
2001-08-31,102.03389803
2001-09-30,102.10034197
2001-10-31,102.18864805
2001-11-30,102.1995725
2001-12-31,102.18914957
2002-01-31,102.28892163
2002-02-28,102.50002497
2002-03-31,102.8705287
2002-04-30,103.42888859
2002-05-31,104.0649951
2002-06-30,104.49377942
2002-07-31,104.82001899
2002-08-31,105.09144994
2002-09-30,105.21868317
2002-10-31,105.5137574
2002-11-30,105.91178693
2002-12-31,106.13173419
2003-01-31,106.17082272
2003-02-28,106.09655856
2003-03-31,106.08257529
2003-04-30,106.41008444
2003-05-31,107.09280696
2003-06-30,107.966377
2003-07-31,108.84792891
2003-08-31,109.3339175
2003-09-30,109.38603817
2003-10-31,109.31368429
2003-11-30,109.34811568
2003-12-31,109.53389987
2004-01-31,109.84958543
2004-02-29,110.20921489
2004-03-31,110.51539191
2004-04-30,111.13683765
2004-05-31,112.36790519
2004-06-30,113.82089975
2004-07-31,114.73288604
2004-08-31,114.89404818
2004-09-30,114.87076914
2004-10-31,115.22118707
2004-11-30,115.70972281
2004-12-31,115.82777287
2005-01-31,115.85813394
2005-02-28,116.26735513
2005-03-31,117.33204372
2005-04-30,118.87084426
2005-05-31,120.44596709
2005-06-30,121.73600522
2005-07-31,122.60111924
2005-08-31,123.18431924
2005-09-30,123.71994241
2005-10-31,124.54170855
2005-11-30,125.42102187
2005-12-31,126.04435472
2006-01-31,126.71723137
2006-02-28,127.59150303
2006-03-31,128.65458283
2006-04-30,130.00658806
2006-05-31,131.30433492
2006-06-30,132.22388872
2006-07-31,132.84868664
2006-08-31,133.27806506
2006-09-30,133.39779588
2006-10-31,133.32157049
2006-11-30,133.3569879
2006-12-31,133.34293707
2007-01-31,133.07274329
2007-02-28,133.35691341
2007-03-31,134.44956913
2007-04-30,135.5311836
2007-05-31,136.43295747
2007-06-30,136.99233889
2007-07-31,137.01933873
2007-08-31,136.73426035
2007-09-30,136.15261136
2007-10-31,135.40754796
2007-11-30,134.51258134
2007-12-31,133.46066713
2008-01-31,132.82358306
2008-02-29,132.81536169
2008-03-31,133.28210616
2008-04-30,133.92762002
2008-05-31,134.28117587
2008-06-30,134.29911265
2008-07-31,134.27073015
2008-08-31,133.81532134
2008-09-30,132.68219965
2008-10-31,131.1139398
2008-11-30,129.27408714
2008-12-31,127.75024564
2009-01-31,127.00365916
2009-02-28,126.67725082
2009-03-31,126.52950013
2009-04-30,126.80765303
2009-05-31,127.15821828
2009-06-30,127.03202168
2009-07-31,126.71949623
2009-08-31,126.42437677
2009-09-30,126.31876648
2009-10-31,126.52574367
2009-11-30,126.30211681
2009-12-31,125.41321311
2010-01-31,124.24880819
2010-02-28,123.03889565
2010-03-31,122.24192346
2010-04-30,122.26647573
2010-05-31,122.534182
2010-06-30,122.1500528
2010-07-31,121.22841104
2010-08-31,120.26620254
2010-09-30,119.34586071
2010-10-31,118.40947714
2010-11-30,117.37367151
2010-12-31,116.35624896
2011-01-31,115.59865675
2011-02-28,115.24855362
2011-03-31,115.41609511
2011-04-30,115.90590437
2011-05-31,116.23360417
2011-06-30,116.2749921
2011-07-31,116.02664972
2011-08-31,115.42058799
2011-09-30,114.4285269
2011-10-31,113.38231973
2011-11-30,112.85476762
2011-12-31,112.78429429
2012-01-31,112.89430209
2012-02-29,113.23719972
2012-03-31,113.950344
2012-04-30,115.12182132
2012-05-31,116.4094368
2012-06-30,117.14982695
2012-07-31,117.09156106
2012-08-31,116.65562359
2012-09-30,116.21772172
2012-10-31,115.7807929
2012-11-30,115.55879713
2012-12-31,115.58386585
2013-01-31,115.6638704
2013-02-28,116.02190926
2013-03-31,116.92651761
2013-04-30,118.14356296
2013-05-31,119.40914066
2013-06-30,120.58846247
2013-07-31,121.23153474
2013-08-31,121.23259618
2013-09-30,120.82391118
2013-10-31,120.06265807
2013-11-30,119.43777577
2013-12-31,119.37656396
2014-01-31,119.90373464
2014-02-28,120.72576169
2014-03-31,121.51150398
2014-04-30,122.25885512
2014-05-31,122.99009319
2014-06-30,123.74392534
2014-07-31,124.38825924
2014-08-31,124.59316858
2014-09-30,124.14130596
2014-10-31,123.3722099
2014-11-30,122.87538219
2014-12-31,122.87094875
2015-01-31,123.27393785
2015-02-28,123.81200297
2015-03-31,124.55908388
2015-04-30,125.4887708
2015-05-31,126.4809076
2015-06-30,127.36401435
2015-07-31,127.8542619
2015-08-31,127.84596898
2015-09-30,127.31907752
2015-10-31,126.70500742
2015-11-30,126.2731108
2015-12-31,126.02894046
2016-01-31,126.25294816
2016-02-29,127.02979459
2016-03-31,128.12843602
2016-04-30,129.49828233
2016-05-31,130.83922001
2016-06-30,131.90261139
2016-07-31,132.73189592
2016-08-31,133.12301418
2016-09-30,132.94468101
2016-10-31,132.23122127
2016-11-30,131.45195109
2016-12-31,131.06086731
2017-01-31,131.26123993
2017-02-28,132.22703782
2017-03-31,133.82406663
2017-04-30,135.56129598
2017-05-31,136.83216537
2017-06-30,137.30666218
2017-07-31,137.0531642
2017-08-31,136.8324642
2017-09-30,137.18246941
2017-10-31,137.69092052
2017-11-30,137.90591479
2017-12-31,138.465286
